# kirjakieli	puhekieli_GENERATED (UNVERIFIED — Finnish speaker must approve)	topic	level
Minä olen Mia. Mikä sinun nimesi on?	Mä oon Mia. Mikä sun nimi on?	greetings	A1
Hyvää päivää! Miten sinä voit?	Hei! Miten sä voit?	greetings	A1
Minä olen uusi täällä.	Mä oon uus täällä.	greetings	A1
Hän on suomalainen mies.	Se on suomalainen mies.	greetings	A1
Minä osaan vähän suomea.	Mä osaan vähän suomee.	greetings	A1
Kiitos! Sinä olet hyvä ihminen.	Kiitos! Sä oot hyvä ihminen.	greetings	A1
Me tulemme samasta maasta.	Me tullaan samasta maasta.	greetings	A1
Hyvää iltaa! Minä olen iloinen, että näen sinut.	Hei! Mä oon iloinen, et näen sut.	greetings	A1
Minä olen uusi täällä.	Mä oon uusi täällä.	greetings	A2
Mikä sinun nimesi on?	Mikä sun nimi on?	greetings	A2
Minun nimeni on Anna.	Mun nimi on Anna.	greetings	A2
Hän on suomalainen mies.	Se on suomalainen mies.	greetings	A2
Minä tulen tänään töihin.	Mä tuun tänään töihin.	greetings	A2
Hyvää päivää! Miten sinä voit?	Hei! Miten sä voit?	greetings	A2
Minä osaan vähän suomea.	Mä osaan vähän suomea.	greetings	A2
Onko sinulla aikaa puhua?	Onks sul aikaa puhua?	greetings	A2
Minulla on kaksi lasta.	Mul on kaks lasta.	family	A1
Hän on minun mies.	Se on mun mies.	family	A1
Me olemme vanha pariskunta.	Me ollaan vanha pariskunta.	family	A1
Minä haluan nähdä lapseni tänään.	Mä haluun nähä mun lapset tänään.	family	A1
Hän on hyvä nainen.	Se on hyvä nainen.	family	A1
Meillä on pieni lapsi kotona.	Meillä on pieni lapsi kotona.	family	A1
Sinä olet tosi tärkeä minulle.	Sä oot tosi tärkeä mulle.	family	A1
He elävät yhdessä kaupungissa.	Ne elää yhdessä kaupungissa.	family	A1
Minulla on kaksi lasta.	Mul on kaks lasta.	family	A2
Hän on minun mieheni.	Se on mun mieheni.	family	A2
Me menemme yhdessä kaupunkiin.	Me mennään yhdessä kaupunkiin.	family	A2
Minä haluan nähdä vanhemmat vanhempani.	Mä haluun nähä vanhat vanhemmat.	family	A2
Lapsi tarvitsee paljon rakkautta.	Lapsi tarttee paljon rakkautta.	family	A2
Sinä olet tosi hyvä ihminen.	Sä oot tosi hyvä ihminen.	family	A2
